"GeneNames","value1","value2","log2(Fold_change)","log2(Fold_change) normalized","z-score","p-value","q-value(Benjamini et al. 1995)","q-value(Storey et al. 2003)","Signature(q-value(Storey et al. 2003) < 0.01)","mu","clr","pch"
"Mki67",6208,1301,2.25450759546933,2.24285814528732,58.6133289562635,0,0,0,TRUE,11.4726590444525,"red","4"
"Col6a3",4043,628,2.68658973938007,2.67494028919805,52.3400669482616,0,0,0,TRUE,10.6379156185817,"red","4"
"Ptx3",406,3157,-2.95900262812781,-2.97065207830982,-48.9941345525307,0,0,0,TRUE,10.1448372312491,"red","4"
"Prrx1",3685,710,2.37577368959039,2.36412423940837,46.6067938429784,0,0,0,TRUE,10.6595620591872,"red","4"
"Cenpf",2489,289,3.10642483248036,3.09477538229834,44.1768209705094,0,0,0,TRUE,9.72813809874086,"red","4"
"Chka",733,3215,-2.1329336340815,-2.14458308426351,-41.1876400712833,0,0,0,TRUE,10.5841362051746,"red","4"
"Slc6a9",379,2414,-2.67115592258393,-2.68280537276595,-40.6696834240789,0,0,0,TRUE,9.90163199946306,"red","4"
"Pdgfra",1489,42,5.14781061580334,5.13616116562132,39.8101193888446,0,0,0,TRUE,7.96622273068043,"red","4"
"Nes",3020,684,2.14248031932654,2.13083086914453,39.597243061922,0,0,0,TRUE,10.4890926745492,"red","4"
"Crebrf",401,2306,-2.52371837119685,-2.53536782137887,-38.5371446725958,0,0,0,TRUE,9.90931761205335,"red","4"
"Tnc",1534,108,3.82819526533947,3.81654581515745,37.7403345753794,0,0,0,TRUE,8.6689851348332,"red","4"
"Exph5",15,1328,-6.46814883573841,-6.47979828592042,-37.7311274035347,0,0,0,TRUE,7.14096501347772,"red","4"
"Ppp1r15a",648,2658,-2.03627538639155,-2.04792483657357,-36.3658227859235,1.477546497207e-289,1.03272723594258e-286,2.38833993109842e-287,TRUE,10.3579876960804,"red","4"
"Ankrd28",2013,373,2.4320996366661,2.42045018648409,34.9236340255882,3.25547983901307e-267,1.87968575052581e-264,4.34706123713299e-265,TRUE,9.75908163858829,"red","4"
"Uhrf1",1638,224,2.8703647195834,2.85871526940139,34.4857453890318,1.3121016329835e-260,6.96988387440834e-258,1.6118924138933e-258,TRUE,9.24253728184931,"red","4"
"Col8a1",2139,448,2.25536584510744,2.24371639492543,34.4094918038098,1.81849525188074e-259,9.28831420960624e-257,2.14806494370647e-257,TRUE,9.93503784461132,"red","4"
"Fam111a",2222,505,2.13750352374993,2.12585407356792,33.9142743718481,4.10393163569493e-252,2.01852637488995e-249,4.66815144923035e-250,TRUE,10.0488913395141,"red","4"
"Trib3",356,1858,-2.38380135541625,-2.39545080559827,-33.4845837579308,8.08080703890823e-246,3.7004523267828e-243,8.55786285825507e-244,TRUE,9.66763410867453,"red","4"
"Atf3",131,1267,-3.27377780760336,-3.28542725778537,-32.5032531622549,9.59203099448414e-232,4.10910230989514e-229,9.5029285431153e-230,TRUE,8.67031190533913,"red","4"
"Pole",1740,325,2.42057568282027,2.40892623263826,32.3790241044572,5.41794547026663e-230,2.24844737016065e-227,5.1998789711657e-228,TRUE,9.55458374932595,"red","4"
"Acsbg1",1101,75,3.87578006306849,3.86413061288647,32.1058201483921,3.65680875755515e-226,1.42830647942154e-223,3.30317752831953e-224,TRUE,8.16670872203012,"red","4"
"Kif11",1873,398,2.23451056369939,2.22286111351738,32.0149321687866,6.758074264747e-225,2.49297850655111e-222,5.76539468249017e-223,TRUE,9.75387990239335,"red","4"
"Rora",369,1786,-2.27503935906083,-2.28668880924284,-31.9350575920829,8.71142372777049e-224,3.04441334486295e-221,7.04067221745022e-222,TRUE,9.66499668559081,"red","4"
"Map1a",2010,468,2.10261506648289,2.09096561630087,31.9187024339955,1.46921843475654e-223,4.87780520339172e-221,1.12806717378255e-221,TRUE,9.92167225282485,"red","4"
"Kntc1",1856,393,2.23959549286897,2.22794604268695,31.9140629713588,1.70395245572846e-223,5.51914356392049e-221,1.27638649397536e-221,TRUE,9.73818324869309,"red","4"
"Ank3",1225,126,3.28128611039002,3.269636660208,31.7649931240519,1.97144475692188e-221,6.23352056474347e-219,1.44159711857621e-219,TRUE,8.61792297869492,"red","4"
"Aspm",1500,239,2.64987997740249,2.63823052722048,31.6419386299225,9.78948897201093e-220,3.02335845461175e-217,6.99197955845789e-218,TRUE,9.225806796682,"red","4"
"Kif23",1476,253,2.54448343136609,2.53283398118407,30.6892886812022,7.91002048009686e-207,2.28358852121057e-204,5.28114826605429e-205,TRUE,9.25523529037735,"red","4"
"Brca1",1331,208,2.6778551377708,2.66620568758878,29.9764453903035,1.99035128834063e-197,4.89478983503028e-195,1.13199513002749e-195,TRUE,9.03936728702649,"red","4"
"Gla",451,1825,-2.01669712539936,-2.02834657558138,-29.9459585704862,4.96666309459636e-197,1.19922337993163e-194,2.77338776873003e-195,TRUE,9.82533218595506,"red","4"
"Prkar2b",1421,257,2.4670662900489,2.45541683986689,29.5859303145554,2.26703340559613e-192,5.37610779041369e-190,1.24330728026313e-190,TRUE,9.23915769421833,"red","4"
"Slfn9",1224,174,2.81444434684392,2.80279489666191,29.5119842625757,2.02063645813392e-191,4.70772844982781e-189,1.08873431920575e-189,TRUE,8.85016566927069,"red","4"
"Espl1",1308,213,2.61843720527224,2.60678775509023,29.354770404208,2.07696203860054e-189,4.52164850370741e-187,1.04570048120589e-187,TRUE,9.04392822286196,"red","4"
"Nrn1",919,64,3.84392105128904,3.83227160110702,29.2515438712117,4.29176919686025e-188,9.04677697369907e-186,2.09220575792276e-186,TRUE,7.92196052564452,"red","4"
"Cenpe",1760,433,2.02313649879794,2.01148704861592,29.1308180005255,1.46197118111906e-186,2.98691958234786e-184,6.90770908447101e-185,TRUE,9.76979146412569,"red","4"
"Sema5a",1211,178,2.76624971872793,2.75460026854592,29.0920363531717,4.5272007211974e-186,9.10927660265175e-184,2.10665975451657e-184,TRUE,8.85885829033036,"red","4"
"2810417H13Rik",859,47,4.19192546946083,4.18027601927881,29.0432528523381,1.87238777984108e-185,3.71124025616262e-183,8.58281159749129e-184,TRUE,7.65055158640805,"red","4"
"Akna",179,1191,-2.73414192059986,-2.74579137078187,-28.9189929964867,6.8901788217605e-184,1.32610977902869e-181,3.06683200369319e-182,TRUE,8.85088673756418,"red","4"
"Iqgap3",1250,204,2.61528703757795,2.60363758739594,28.6774910323192,7.28297704440471e-181,1.34330465485687e-178,3.10659778803724e-179,TRUE,8.98006886076047,"red","4"
"Pik3r5",824,4,7.68650052718322,7.6748510770012,28.5023394315621,1.09577876828486e-178,1.94025893904305e-176,4.48714601446304e-177,TRUE,5.84325026359161,"red","4"
"Rrm2",1264,215,2.55558789858764,2.54393844840563,28.4694442268921,2.80013188242632e-178,4.89286202613442e-176,1.13154929468924e-176,TRUE,9.02598679888328,"red","4"
"Mcm5",1633,391,2.06228427825434,2.05063482807233,28.4126937389105,1.40933284926645e-177,2.43064158938422e-175,5.62123101248162e-176,TRUE,9.64216693643452,"red","4"
"Apln",1010,113,3.15996061522397,3.14831116504195,28.3627777976583,5.82332272050516e-177,9.91458022157801e-175,2.29289855241021e-175,TRUE,8.40015927002717,"red","4"
"Slc24a3",227,1267,-2.48065232184989,-2.49230177203191,-28.2896547063026,4.63280024023748e-176,7.69044839879422e-174,1.77853399810145e-174,TRUE,9.06687464821586,"red","4"
"Cd248",1340,258,2.37679002992188,2.36514057973987,28.1103241510897,7.32618146056604e-174,1.14460811525079e-171,2.64708160293426e-172,TRUE,9.19962227038419,"red","4"
"Tenm4",29,755,-4.70235183908487,-4.71400128926689,-28.1055492434657,8.37990589641767e-174,1.29401337563287e-171,2.99260415416338e-172,TRUE,7.20915691467001,"red","4"
"Ccbe1",763,30,4.66864865122601,4.656999201044,28.0759100185988,1.92878739262541e-173,2.94417202000752e-171,6.80884879828773e-172,TRUE,7.24121492122153,"red","4"
"Rbl1",1343,261,2.36333759285756,2.35168814267554,28.0470206997576,4.34312890660983e-173,6.55417634997483e-171,1.51575368086604e-171,TRUE,9.20957479299866,"red","4"
"Stard5",191,1167,-2.6111600176716,-2.62280946785362,-27.932995111255,1.06084466011638e-171,1.56533523181617e-169,3.62007750893637e-170,TRUE,8.88300883687155,"red","4"
"Acot2",335,1473,-2.13652442969071,-2.14817387987273,-27.9069332126716,2.19821086224418e-171,3.20793848907722e-169,7.41884916299103e-170,TRUE,9.45627950019049,"red","4"
"Palld",1405,294,2.25668207027192,2.24503262008991,27.8970180421907,2.89982700093524e-171,4.18583723613261e-169,9.68038981465382e-170,TRUE,9.32801337997233,"red","4"
"Nqo1",885,80,3.467605550083,3.45595609990098,27.6309485762666,4.72847452396466e-168,6.54105642481778e-166,1.51271949719633e-166,TRUE,8.05573086992886,"red","4"
"Kif4",1431,315,2.18359993833939,2.17195048815737,27.5846475706343,1.7005625156111e-167,2.32819280487787e-165,5.38430250472742e-166,TRUE,9.39100798755697,"red","4"
"Tacc3",1264,238,2.40896298486916,2.39731353468714,27.5189950114561,1.04039267296478e-166,1.39559744413862e-164,3.22753287370497e-165,TRUE,9.09929925574252,"red","4"
"Car6",36,729,-4.33985000288462,-4.35149945306664,-27.1464443522926,2.78897666711412e-162,3.56130866723803e-160,8.23607183088216e-161,TRUE,7.33985000288462,"red","4"
"Kif20a",1457,341,2.09515723304034,2.08350778285832,27.1131181277821,6.89663083669098e-162,8.55955677675292e-160,1.97952862391243e-160,TRUE,9.46120654554434,"red","4"
"Ccnf",979,126,2.95788512610378,2.94623567592176,27.0630852583979,2.6793799640137e-161,3.26441889193596e-159,7.54946874653376e-160,TRUE,8.45622248655181,"red","4"
"Stag3",702,30,4.54843662469604,4.53678717451403,26.7873076403283,4.54219811940475e-158,5.33808770138894e-156,1.23451455226668e-156,TRUE,7.18110890795654,"red","4"
"Ptges",1114,189,2.55929109311896,2.54764164293694,26.7485007044632,1.28537698311565e-157,1.49735143296279e-155,3.46285456001212e-156,TRUE,8.84188797078055,"red","4"
"Clspn",1077,174,2.62985903869548,2.61820958851346,26.7004952787382,4.64487408234847e-157,5.36381980987719e-155,1.24046549653104e-155,TRUE,8.75787301519647,"red","4"
"Wdhd1",1089,182,2.58099359851821,2.56934414833619,26.5718071412378,1.43787824471773e-155,1.63205325554286e-153,3.7743731589828e-154,TRUE,8.7982914394578,"red","4"
"Slc25a25",258,1239,-2.26373321671735,-2.27538266689936,-26.5188306332308,5.87929561324723e-155,6.6166987918579e-153,1.53021295329946e-153,TRUE,9.14309386378193,"red","4"
"Casp4",127,942,-2.89089856284062,-2.90254801302263,-26.4584525111682,2.91671869087977e-154,3.22783535124028e-152,7.46486370463738e-153,TRUE,8.43413396819247,"red","4"
"Gm2115",792,68,3.54189377882927,3.53024432864726,26.3591652008302,4.0296627348935e-153,4.42263810904014e-151,1.02280281075161e-151,TRUE,7.85840973066497,"red","4"
"Grem1",789,67,3.55779229955569,3.54614284937367,26.3549675237854,4.50181182248454e-153,4.86049276443859e-151,1.12406340707461e-151,TRUE,7.84498534023562,"red","4"
"Ckap2l",1278,276,2.21114766416883,2.19949821398681,26.2731123121018,3.89205752411057e-152,4.0698050330857e-150,9.34016153142286e-151,TRUE,9.21409828886258,"red","4"
"Sgol2a",963,135,2.83457639079263,2.82292694061061,26.2731056153359,3.89274336124686e-152,4.03872123729361e-150,9.34016153142286e-151,TRUE,8.49410379244715,"red","4"
"Ptpn22",685,4,7.41996017784789,7.40831072766587,26.2706274965017,4.15500239711805e-152,4.27739781656804e-150,9.8921376825881e-151,TRUE,5.70998008892394,"red","4"
"Trim46",244,1189,-2.28479566218277,-2.29644511236479,-26.1231445746439,1.99042787809536e-150,2.0332986323928e-148,4.70231455758908e-149,TRUE,9.07313516865427,"red","4"
"Mtm1",295,1293,-2.13193541556105,-2.14358486574307,-26.1110519092064,2.73091476112716e-150,2.7684387807457e-148,6.40243876285644e-149,TRUE,9.27053885202973,"red","4"
"Col11a2",107,875,-3.03167222031854,-3.04332167050056,-26.0925265109365,4.43217458011092e-150,4.4590362442328e-148,1.03122043707855e-148,TRUE,8.25730309656042,"red","4"
"Mybl2",790,72,3.45578384162215,3.44413439144014,26.0698492921936,8.01412885203985e-150,7.94236053396188e-148,1.83679253826671e-148,TRUE,7.89781692225339,"red","4"
"Slc16a13",1043,173,2.59189521488304,2.58024576470103,26.0655643774627,8.962667435659e-150,8.81660915152234e-148,2.03897592322619e-148,TRUE,8.73057583507824,"red","4"
"Tk1",880,106,3.05343925896146,3.04178980877945,26.0553335486866,1.17057399056303e-149,1.14303107313802e-147,2.64343445146982e-148,TRUE,8.25464008404393,"red","4"
"Brca2",1210,250,2.27500704749987,2.26335759731785,26.0172436831875,3.16031472359912e-149,3.06342916272966e-147,7.08464920919877e-148,TRUE,9.10328780841202,"red","4"
"Dlgap1",703,44,3.99794926043524,3.98629981025322,25.9112783085696,4.9702411330909e-148,4.78295668459762e-146,1.1061320008775e-146,TRUE,7.45840624885492,"red","4"
"Klhl24",179,1036,-2.5329925104223,-2.54464196060431,-25.8823372355096,1.05282698722044e-147,1.00586635901348e-145,2.32622003852531e-146,TRUE,8.75031203247541,"red","4"
"Timeless",920,127,2.85680536417221,2.84515591399019,25.7825115985241,1.39303512137846e-146,1.30278214168352e-144,3.01288326889605e-145,TRUE,8.41708736885827,"red","4"
"Thap6",277,1238,-2.16005343316507,-2.17170288334709,-25.7589535839744,2.55871097577446e-146,2.37620152155838e-144,5.49533001625052e-145,TRUE,9.19376888263173,"red","4"
"Pold1",930,133,2.8058044704942,2.79415502031219,25.6835865218818,1.78314101881446e-145,1.5786741819904e-143,3.65092587453696e-144,TRUE,8.45818467074829,"red","4"
"Cntln",848,101,3.0697089718114,3.05805952162939,25.641605008154,5.24545514685714e-145,4.58287133883308e-143,1.05985919966868e-143,TRUE,8.1930659686575,"red","4"
"Npy1r",206,1082,-2.3929842566436,-2.40463370682561,-25.6092734511785,1.20267128651895e-144,1.04388723431187e-142,2.41414913686808e-143,TRUE,8.88299265550502,"red","4"
"Kif15",942,141,2.74003189721399,2.72838244703197,25.5296354103591,9.24378593220079e-144,7.91983723739526e-142,1.8315836809133e-142,TRUE,8.50956730100579,"red","4"
"Cep250",1032,180,2.51937415909358,2.50772470891156,25.5177001610782,1.25415742113992e-143,1.0676417020986e-141,2.4690849824452e-142,TRUE,8.75154017587646,"red","4"
"E2f8",962,150,2.68107439327416,2.66942494309215,25.5009621336037,1.92339914145606e-143,1.61662915180611e-141,3.73870255635533e-142,TRUE,8.56935588713296,"red","4"
"Prkcg",173,998,-2.52826777770054,-2.53991722788255,-25.3768046334155,4.54852380800231e-142,3.75182584908514e-140,8.67667199821529e-141,TRUE,8.69876211648699,"red","4"
"Notch4",630,4,7.29920801838728,7.28755856820526,25.3072964581726,2.65496551429492e-141,2.16306392821083e-139,5.00241668222235e-140,TRUE,5.64960400919364,"red","4"
"Oaf",834,105,2.98965805577854,2.97800860559652,25.1093133967068,3.93498967910803e-139,3.16707048112452e-137,7.32433563424809e-138,TRUE,8.20907454555539,"red","4"
"Tcf19",1068,206,2.37419540450434,2.36254595432232,25.0792479266273,8.37770431398533e-139,6.66203073591169e-137,1.54069665977779e-137,TRUE,8.87359822943539,"red","4"
"Plk1",1086,216,2.32992088564089,2.31827143545888,25.0069201664677,5.1406421816833e-138,4.06355524837823e-136,9.39759398624583e-137,TRUE,8.91984794498391,"red","4"
"Mfap3l",1237,290,2.09272069496144,2.08107124477942,24.9635836358682,1.5205863578855e-137,1.18784628427761e-135,2.74707649223346e-136,TRUE,9.22626943749565,"red","4"
"Gdf15",81,754,-3.21857071038404,-3.23022016056605,-24.8894314934213,9.68342145863798e-137,7.47650214946002e-135,1.72905565061434e-135,TRUE,7.94913535807664,"red","4"
"Chst1",881,129,2.77177095349716,2.76012150331514,24.8393796370389,3.36809193176995e-136,2.58544860427196e-134,5.97924594847107e-135,TRUE,8.39711273217183,"red","4"
"Melk",698,59,3.56444017684781,3.5527907266658,24.8064192717402,7.64339419784198e-136,5.80024428270523e-134,1.34139534122642e-134,TRUE,7.66486313778575,"red","4"
"Net1",1138,247,2.2039176107219,2.19226816053989,24.7417105019469,3.80744916543009e-135,2.87289346118816e-133,6.64400621223542e-134,TRUE,9.05032603694563,"red","4"
"Cep55",1125,244,2.20497194854151,2.1933224983595,24.6073108994511,1.05491781596321e-133,7.82642938323545e-132,1.80998168377371e-132,TRUE,9.03322331183364,"red","4"
"Arhgap31",1212,287,2.07826705679726,2.06661760661525,24.5999412484618,1.2650119327751e-133,9.33297692625186e-132,2.15839388109513e-132,TRUE,9.20404045507432,"red","4"
"Shank2",905,145,2.64186489195563,2.63021544177362,24.5367632437177,5.98839901615816e-133,4.39369828367847e-131,1.01611003282297e-131,TRUE,8.50084153599275,"red","4"
"Brip1",918,151,2.60394560408873,2.59229615390671,24.5166762693813,9.80907495948977e-133,7.15739095945187e-131,1.65525629963072e-131,TRUE,8.54037754136944,"red","4"
"Cp",306,1227,-2.00353169097025,-2.01518114115227,-24.4502897443335,4.99680520840627e-132,3.6260968944063e-130,8.38590453077199e-131,TRUE,9.25915368817778,"red","4"
"Chl1",44,631,-3.84206457634525,-3.85371402652727,-24.381848476337,2.66465391403029e-131,1.92318499882186e-129,4.44765991223562e-130,TRUE,7.38046390680992,"red","4"
"Nuf2",909,150,2.59931779369823,2.58766834351621,24.3721805903709,3.37415073036931e-131,2.39618832616601e-129,5.54155256357775e-130,TRUE,8.52847758734499,"red","4"
"Cemip",653,51,3.67851383957494,3.66686438939292,24.2791088797002,3.25893738736889e-130,2.25409835959681e-128,5.21294774988179e-129,TRUE,7.51168226175896,"red","4"
"Mastl",854,130,2.71572444659204,2.70407499641002,24.1930194418362,2.63484765924788e-129,1.80364829457793e-127,4.1712129724809e-128,TRUE,8.38023003632447,"red","4"
"Nusap1",943,172,2.454849205973,2.44319975579098,24.0321089826462,1.28437154283853e-127,8.70227249433455e-126,2.0125338197892e-126,TRUE,8.6536893576886,"red","4"
"Lancl3",581,30,4.27550375779601,4.26385430761399,24.0127790428638,2.04505323308292e-127,1.37859426067721e-125,3.18821040732343e-126,TRUE,7.04464247450652,"red","4"
"Birc5",1091,242,2.17257214904901,2.160922698867,24.0090551654554,2.23667880518883e-127,1.50015628954079e-125,3.46934122050977e-126,TRUE,9.0051493117991,"red","4"
"Veph1",11,529,-5.58769229347673,-5.59934174365874,-23.969739391328,5.75337735875467e-127,3.80123638429164e-125,8.79094142981688e-126,TRUE,6.25327776537566,"red","4"
"Bub1b",1030,215,2.26023577248112,2.2485863222991,23.9085452709927,2.49598666218223e-126,1.6409258848406e-124,3.79489247338462e-125,TRUE,8.87831073583002,"red","4"
"Rad51",752,99,2.92523223159803,2.91358278141601,23.5890289063113,4.99512211418861e-123,3.15882007982975e-121,7.30525531741893e-122,TRUE,8.09197273587862,"red","4"
"Arl4c",890,158,2.49388077767666,2.48223132749464,23.5600477551487,9.9036569186502e-123,6.23320207960543e-121,1.44152346400934e-121,TRUE,8.55072113701543,"red","4"
"Glul",989,205,2.27034661125366,2.25869716107165,23.4919827750376,4.92586336901716e-122,3.05679745516579e-120,7.06931236958139e-121,TRUE,8.81465340513228,"red","4"
"Nmnat2",778,112,2.79627142292859,2.78462197274657,23.4496131590107,1.33397322782412e-121,8.12622223188274e-120,1.87931337239026e-120,TRUE,8.2054906335219,"red","4"
"Casc5",1054,238,2.14684138832927,2.13519193814725,23.4216118235323,2.57430818987699e-121,1.56104167861034e-119,3.61014800944135e-120,TRUE,8.96823845747258,"red","4"
