"GeneNames","value1","value2","log2(Fold_change)","log2(Fold_change) normalized","z-score","p-value","q-value(Benjamini et al. 1995)","q-value(Storey et al. 2003)","Signature(q-value(Storey et al. 2003) < 0.01)","mu","clr","pch"
"Akap9",1798,1513,0.24898103329771,0.261207436805702,5.19994431911228,1.99348236423891e-07,1.56163982367804e-05,1.13104179858147e-05,FALSE,10.6876867888656,"purple","3"
"Zbed6",1169,940,0.314542267966656,0.326768671474648,5.18580424446185,2.15084641144527e-07,1.67500327300729e-05,1.21314703032483e-05,FALSE,10.0337880805483,"purple","3"
"Prrc2c",5216,4742,0.137448206749069,0.149674610257061,5.17507674024984,2.27817324396877e-07,1.76378570625161e-05,1.27744908093635e-05,FALSE,12.2800040508565,"purple","3"
"Rrp1b",1049,833,0.33262627721172,0.344852680719712,5.16803974256935,2.36562014017919e-07,1.82083982766467e-05,1.31877141091351e-05,FALSE,9.86848582397141,"purple","3"
"Dcp2",739,559,0.40272608130296,0.414952484810952,5.15634335503062,2.51818956500958e-07,1.91599492248057e-05,1.38768896024399e-05,FALSE,9.32806751349467,"purple","3"
"Lgr6",85,167,-0.97431335633635,-0.962086952828358,-5.14711338506826,2.64525448679308e-07,2.00117280860878e-05,1.44938036184958e-05,FALSE,6.89654761430588,"purple","3"
"Hspa1b",324,472,-0.542793046477216,-0.530566642969224,-5.14262007925203,2.70933162046514e-07,2.03800234791693e-05,1.47605472539259e-05,FALSE,8.61124652612323,"purple","3"
"Trio",2709,2365,0.195920209975256,0.208146613483248,5.13344244018471,2.84490063092536e-07,2.12788923462265e-05,1.54115669350779e-05,FALSE,11.3055845732144,"purple","3"
"Gigyf1",1130,909,0.313970573108442,0.326196976616434,5.09013978860231,3.57799647612925e-07,2.66118513188063e-05,1.92740449640395e-05,FALSE,9.98512177074833,"purple","3"
"Cxx1b",214,335,-0.646550298943988,-0.634323895435996,-5.08739202854265,3.63020934267682e-07,2.68493527864237e-05,1.94460590757615e-05,FALSE,8.06474213587314,"purple","3"
"Lamb2",2640,3047,-0.206851570440669,-0.194625166932677,-5.08107337815903,3.75308097660807e-07,2.76039105829524e-05,1.99925592318023e-05,FALSE,11.4697479994662,"purple","3"
"P3h2",244,372,-0.608421473545144,-0.596195070037152,-5.07214833771202,3.93349574577225e-07,2.87710221979441e-05,2.08378578724686e-05,FALSE,8.23494807433546,"purple","3"
"Stxbp5",1178,954,0.304278367824949,0.316504771332941,5.05119466336753,4.39055337376204e-07,3.19376572061734e-05,2.30307199532405e-05,FALSE,10.049984639918,"purple","3"
"Spg11",1199,973,0.301319948633111,0.313546352141103,5.05098076940669,4.39547326236639e-07,3.17987270603654e-05,2.30307199532405e-05,FALSE,10.0769559690977,"purple","3"
"Pde1b",59,128,-1.11735695063816,-1.10513054713017,-5.04944664881637,4.43091658088517e-07,3.18809264208363e-05,2.30902541115654e-05,FALSE,6.44132152468092,"red","4"
"Epb4.1",90,35,1.36257007938471,1.3747964828927,5.04812321493246,4.46171370237087e-07,3.19289879490205e-05,2.31250634167943e-05,FALSE,5.81056805663732,"red","4"
"Dync1h1",5758,5275,0.126396695081526,0.138623098589518,5.04565126650938,4.51979140377875e-07,3.21707088143155e-05,2.33001334925522e-05,FALSE,12.4281537260227,"purple","3"
