"GeneNames","value1","value2","log2(Fold_change)","log2(Fold_change) normalized","z-score","p-value","q-value(Benjamini et al. 1995)","q-value(Storey et al. 2003)","Signature(q-value(Storey et al. 2003) < 0.01)","mu","clr","pch"
"Ttf1",146,180,-0.302028537449657,-0.148453899892206,-0.927091014447878,0.353879281090095,0.457492898830788,0.139840213324634,FALSE,7.34083882760485,"black","46"
"Pank1",400,417,-0.0600473836699376,0.0935272538875135,0.927089216166494,0.353880214689372,0.457448947939199,0.139840213324634,FALSE,8.67387988160969,"black","46"
"Slc35c1",123,153,-0.314873337353412,-0.161298699795961,-0.926623733071899,0.354121928146515,0.457693636418136,0.139840213324634,FALSE,7.09995117401595,"black","46"
"Ccdc136",123,153,-0.314873337353412,-0.161298699795961,-0.926623733071899,0.354121928146515,0.457693636418136,0.139840213324634,FALSE,7.09995117401595,"black","46"
"Gm20324",7,12,-0.777607578663552,-0.624032941106101,-0.926607052595794,0.354130591826252,0.457524217486963,0.139840213324634,FALSE,3.19615871138938,"black","46"
"Gm3435",7,12,-0.777607578663552,-0.624032941106101,-0.926607052595794,0.354130591826252,0.457524217486963,0.139840213324634,FALSE,3.19615871138938,"black","46"
"Efhb",7,12,-0.777607578663552,-0.624032941106101,-0.926607052595794,0.354130591826252,0.457524217486963,0.139840213324634,FALSE,3.19615871138938,"black","46"
"Pcdhga5",7,12,-0.777607578663552,-0.624032941106101,-0.926607052595794,0.354130591826252,0.457524217486963,0.139840213324634,FALSE,3.19615871138938,"black","46"
"Ncmap",7,12,-0.777607578663552,-0.624032941106101,-0.926607052595794,0.354130591826252,0.457524217486963,0.139840213324634,FALSE,3.19615871138938,"black","46"
"Slc25a34",7,12,-0.777607578663552,-0.624032941106101,-0.926607052595794,0.354130591826252,0.457524217486963,0.139840213324634,FALSE,3.19615871138938,"black","46"
"Gtf2h2",218,222,-0.0262315415731802,0.127343095984271,0.926412746081745,0.354231522636183,0.45749664895892,0.139860919637289,FALSE,7.78130009556352,"black","46"
"Mbd4",34,30,0.18057224564182,0.334146883199271,0.926203970394478,0.354339989580812,0.457569048321285,0.139860919637289,FALSE,4.99717671842943,"black","46"
"Kdm8",34,30,0.18057224564182,0.334146883199271,0.926203970394478,0.354339989580812,0.457569048321285,0.139860919637289,FALSE,4.99717671842943,"black","46"
"Nbeal1",46,42,0.131244533278252,0.284819170835703,0.926169900721618,0.354357692068148,0.457501684361854,0.139860919637289,FALSE,5.45793968941789,"black","46"
"Atad5",46,42,0.131244533278252,0.284819170835703,0.926169900721618,0.354357692068148,0.457501684361854,0.139860919637289,FALSE,5.45793968941789,"black","46"
"A430005L14Rik",151,151,0,0.153574637557451,0.925618329304348,0.354644364444004,0.45780410022264,0.139960268593293,FALSE,7.23840473932508,"black","46"
"Etl4",233,238,-0.030631618653663,0.122943018903788,0.925367977923319,0.354774529761218,0.457926990119545,0.1399978385997,FALSE,7.87950195398111,"black","46"
"Ces1d",182,222,-0.28662122615141,-0.133046588593959,-0.925200417932296,0.354861666157664,0.457994321474403,0.1400184232002,FALSE,7.6511052532744,"black","46"
"Tex261",111,109,0.0262315415731802,0.179806179130631,0.924941582506808,0.354996295165599,0.45812292880259,0.140057741144682,FALSE,6.78130009556352,"black","46"
"Wdr45b",412,430,-0.0616923224062411,0.09188231515121,0.924609146347492,0.355169253677298,0.458300970160399,0.140112172103792,FALSE,8.71734668838634,"black","46"
"Spint2",1121,1200,-0.0982481276904554,0.0553265098669956,0.924260884683064,0.355350502845441,0.458489673425015,0.140142014328037,FALSE,10.1796946266507,"black","46"
"Kif26b",43,39,0.140862535839849,0.2944371733973,0.92415634413971,0.355404921272905,0.45846954777285,0.140142014328037,FALSE,5.35583348678217,"black","46"
"Slc6a19os",43,39,0.140862535839849,0.2944371733973,0.92415634413971,0.355404921272905,0.45846954777285,0.140142014328037,FALSE,5.35583348678217,"black","46"
"Rest",43,39,0.140862535839849,0.2944371733973,0.92415634413971,0.355404921272905,0.45846954777285,0.140142014328037,FALSE,5.35583348678217,"black","46"
"Gcdh",112,140,-0.321928094887363,-0.168353457329912,-0.924020251788614,0.35547577182535,0.458470623185422,0.140142014328037,FALSE,6.96831896950128,"black","46"
"Ehd1",910,970,-0.0921182019884323,0.0614564355690187,0.924009347576614,0.355481449013743,0.458432797270702,0.140142014328037,FALSE,9.87578183608028,"black","46"
"Zfp143",238,287,-0.270089163367744,-0.116514525810293,-0.923896242496446,0.355540339618322,0.458463596656317,0.140142014328037,FALSE,8.02986234499182,"black","46"
"Nrde2",129,160,-0.310700839464109,-0.157126201906658,-0.923739923838797,0.355621740436385,0.458523413680703,0.140142014328037,FALSE,7.16657767515531,"black","46"
"Gm14023",42,38,0.144389909335175,0.297964546892627,0.923724192618442,0.355629932906757,0.458443705221664,0.140142014328037,FALSE,5.32012246811117,"black","46"
"Ogg1",42,38,0.144389909335175,0.297964546892627,0.923724192618442,0.355629932906757,0.458443705221664,0.140142014328037,FALSE,5.32012246811117,"black","46"
"Hirip3",42,38,0.144389909335175,0.297964546892627,0.923724192618442,0.355629932906757,0.458443705221664,0.140142014328037,FALSE,5.32012246811117,"black","46"
"Tmem9b",921,982,-0.092521868223356,0.0610527693340951,0.923537055304182,0.355727398997535,0.45847908840387,0.140149691074658,FALSE,9.89331828020302,"black","46"
"Ogfod1",185,187,-0.0155129993713246,0.138061638186127,0.923531553186001,0.355730264901968,0.458437664746721,0.140149691074658,FALSE,7.53913796020197,"black","46"
"Atp5s",101,127,-0.330473204020371,-0.17689856646292,-0.923374849610258,0.355811893666613,0.458475186644165,0.140149691074658,FALSE,6.82344808476198,"black","46"
"Thtpa",101,127,-0.330473204020371,-0.17689856646292,-0.923374849610258,0.355811893666613,0.458475186644165,0.140149691074658,FALSE,6.82344808476198,"black","46"
"Zscan29",342,407,-0.25103246938035,-0.097457831822899,-0.923325408930958,0.355837650358429,0.458440715110082,0.140149691074658,FALSE,8.54336874957607,"black","46"
"AK010878",39,35,0.156119201917282,0.309693839474733,0.923283579300711,0.355859442904738,0.458423693122216,0.140149691074658,FALSE,5.20734261790361,"black","46"
"Lancl2",283,339,-0.260483220304462,-0.106908582747011,-0.922867747819939,0.356076130007421,0.45865771600051,0.140221236753011,FALSE,8.27489985298411,"black","46"
"Tspan31",462,484,-0.0671141958585366,0.0864604416989145,0.922202327306323,0.356423049377115,0.459059427089171,0.140344048217212,FALSE,8.88530613934533,"black","46"
"B3gat2",13,20,-0.62148837674627,-0.467913739188819,-0.921568621036553,0.356753632383356,0.459327097251382,0.140391374507916,FALSE,4.01118390651423,"black","46"
