"GeneNames","value1","value2","log2(Fold_change)","log2(Fold_change) normalized","z-score","p-value","q-value(Benjamini et al. 1995)","q-value(Storey et al. 2003)","Signature(q-value(Storey et al. 2003) < 0.01)","mu","clr","pch"
"Baiap2l1",251,1736,-2.79000767849371,-3.04119948075791,-38.3714967213092,0,0,0,TRUE,9.36654739319762,"red","4"
"Cyp2g1",556,50,3.47508488294878,3.22389308068458,20.442339794217,7.02873752499129e-93,1.31487596985373e-89,4.8024181888833e-90,TRUE,7.38139863124912,"red","4"
"2310005A03Rik",388,6,6.01495034146597,5.76375853920177,19.6600983606396,4.73807570758352e-86,7.75563767385078e-83,2.83264857562443e-83,TRUE,5.59243767145414,"red","4"
"Nqo1",89,483,-2.44014594786938,-2.69133775013358,-19.0301775799802,9.59270877178469e-81,1.25616521366521e-77,4.58798457699348e-78,TRUE,7.69580640490109,"red","4"
"Far2",545,113,2.2699334572491,2.0187416549849,15.6167775109139,5.5963462107748e-55,2.81862129346523e-52,1.02946578062545e-52,TRUE,7.95514569103974,"red","4"
"Ppap2a",115,392,-1.76921979317083,-2.02041159543504,-14.4569399377198,2.26652670081854e-47,9.89338904907292e-45,3.61343522950321e-45,TRUE,7.73009994752979,"red","4"
"Gm6093",362,66,2.45545176772475,2.20425996546055,13.4574953971117,2.78186784743607e-41,9.34065627235265e-39,3.40451591712711e-39,TRUE,7.27212000322083,"red","4"
"Serpina9",40,229,-2.51727569320958,-2.76846749547378,-13.2999285382332,2.31689657955234e-40,7.05575830447393e-38,2.57702648726171e-38,TRUE,6.58056594149215,"red","4"
"Gpx2",22,158,-2.84434912953981,-3.09554093180401,-11.6718869704549,1.77443200345934e-31,3.36756334569566e-29,1.22995992278911e-29,TRUE,5.8816061834072,"red","4"
"Soga1",143,9,3.98994633533608,3.73875453307187,10.9965200777312,3.97164417593656e-28,5.5923312348268e-26,2.03722674422785e-26,TRUE,5.16489816911035,"red","4"
"Cyp3a57",175,24,2.86624861111117,2.61505680884697,10.3378031534606,4.75308475215504e-25,5.60735539004236e-23,2.04801564056782e-23,TRUE,6.01808680627674,"red","4"
"Spaca6",158,19,3.05585323473352,2.80466143246932,10.1945376142837,2.09740196771442e-24,2.34747681771114e-22,8.57386219371852e-23,TRUE,5.77585413081034,"red","4"
"Parp9",169,29,2.54289844115461,2.29170663889041,9.41597309126968,4.68720344351053e-21,3.78882278350434e-19,1.38381960482408e-19,TRUE,6.12943021570488,"red","4"
"BC018473",96,5,4.26303440583379,4.01184260356959,9.22119771869027,2.93799871262491e-20,2.14933481239236e-18,7.85017357810667e-19,TRUE,4.45344529780426,"red","4"
"Cyp2f2",146,24,2.60486205815886,2.35367025589466,8.89244592564538,5.97782486387355e-19,3.76344310540501e-17,1.37454999837247e-17,TRUE,5.88739352980059,"red","4"
"Zbtb16",97,7,3.79255792012952,3.54136611786532,8.8771093905691,6.86203080626284e-19,4.29943987598143e-17,1.57031604012965e-17,TRUE,4.70363388212237,"red","4"
"Fam57b",147,28,2.39231742277876,2.14112562051456,8.42162254066004,3.71305682445084e-17,1.89931559047593e-15,6.93700998972998e-16,TRUE,6.00351363344698,"red","4"
"Dnmt3l",24,98,-2.02974734339405,-2.28093914565825,-7.80022627687762,6.1796268455025e-15,2.40125262735475e-13,8.77027153747065e-14,TRUE,5.59983617241818,"red","4"
"Thrsp",8,65,-3.02236781302845,-3.27355961529266,-7.67634108884316,1.63696900074846e-14,5.98773996223494e-13,2.18694629487672e-13,TRUE,4.51118390651423,"red","4"
"Adrbk2",124,26,2.25375659224578,2.00256478998158,7.41002767180364,1.26273066181206e-13,4.12355561506955e-12,1.50607653822168e-12,TRUE,5.82731801426398,"red","4"
"Gsta4",28,98,-1.8073549220576,-2.05854672432181,-7.31629284156086,2.54915053107496e-13,7.83594511840999e-12,2.86197985410971e-12,TRUE,5.71103238308641,"red","4"
"Slc16a5",1,44,-5.4594316186373,-5.7106234209015,-7.22236172279311,5.10923478377128e-13,1.5034927976064e-11,5.49131729807431e-12,TRUE,2.72971580931865,"red","4"
"Wdr90",116,24,2.27301849440642,2.02182669214221,7.21183152807483,5.52042496738826e-13,1.59933550769799e-11,5.84137067555518e-12,TRUE,5.72147174792436,"red","4"
"Igfbp3",101,18,2.48828648130948,2.23709467904528,7.17326342643853,7.32307474702422e-13,2.08016624321653e-11,7.59754412686956e-12,TRUE,5.41406824209705,"red","4"
"Cfd",15,70,-2.22239242133645,-2.47358422360065,-6.91444894511394,4.69685523211327e-12,1.16708385701183e-10,4.26262618784429e-11,TRUE,5.01808680627674,"red","4"
"Mgarp",22,82,-1.89812038598079,-2.14931218824499,-6.87848150231975,6.04939034688542e-12,1.47243060580789e-10,5.37786657093361e-11,TRUE,5.40849181162769,"red","4"
"Pck1",4,45,-3.49185309632967,-3.74304489859388,-6.73249394094045,1.66779334921504e-11,3.70793784515635e-10,1.35427740403595e-10,TRUE,3.74592654816484,"red","4"
"Clcn6",96,20,2.26303440583379,2.01184260356959,6.53963183191586,6.16704595403416e-11,1.25986687625706e-09,4.60150443146477e-10,TRUE,5.45344529780426,"red","4"
